set,n_inputs,val_pr_auc,val_roc_auc,val_recall_at_p90,train_pr_auc,gap
F0,423,0.6013817481552063,0.9218710455698903,0.30721220527045767,0.8978760764309026,0.29649432827569633
F0+F1,426,0.6042837414540864,0.9223549103977625,0.29958391123439665,0.8990141495045102,0.29473040805042383
+F2,431,0.6041018818920629,0.9247978577201956,0.30478502080443826,0.9021017347876087,0.29799985289554576
+F3,433,0.6002501331657139,0.9230307972029813,0.30339805825242716,0.9060290185536485,0.30577888538793463
+F4,438,0.6033098064551916,0.9235223894177593,0.3096393897364771,0.9106804997934771,0.3073706933382855
+F5,442,0.6165702887649966,0.9293236227948038,0.340499306518724,0.9241038355213208,0.30753354675632416
+F6,454,0.6255392892899658,0.9308650339076555,0.32142857142857145,0.9327130088411858,0.30717371955121997
+F7,462,0.6191155892960065,0.9312184468551603,0.3325242718446602,0.9404003548650163,0.32128476556900976
