set,n_inputs,val_pr_auc,val_roc_auc,val_recall_at_p90,train_pr_auc,gap
"shipped, transaction only (no identity, no V)",62,0.6035141605692191,0.9295491287086394,0.2735783633841886,0.9231329463793424,0.3196187858101232
shipped except V,100,0.6214222523743924,0.9312405591673902,0.3200416088765603,0.932928261202024,0.3115060088276316
shipped (everything),439,0.6189589935817271,0.9322722075224148,0.3287101248266297,0.9272557335004964,0.3082967399187691
"shipped except Vesta-engineered (C, D, M, V)",62,0.4325114520086284,0.8613482078708437,0.1286407766990291,0.8274044126130387,0.3948929606044102
"raw transaction only (no identity, no V)",50,0.5863953403316207,0.9216364786513106,0.2510402219140083,0.886282333222616,0.2998869928909953
raw transaction + identity (no V),84,0.591278750299892,0.92243455397067,0.28224687933425796,0.901680006224019,0.31040125592412704
raw everything incl. V (F0),423,0.6013817481552063,0.9218710455698903,0.30721220527045767,0.8978760764309026,0.29649432827569633
