threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.1,0.3222886697914983,0.665998663994656,0.43437534037686526,1994,4193,78243,1000,6187,206.23333333333332,66.46666666666667
0.105,0.33486472690148034,0.657314629258517,0.44369293202570165,1968,3909,78527,1026,5877,195.9,65.6
0.11,0.3451812555260831,0.6519706078824316,0.45138166261995605,1952,3703,78733,1042,5655,188.5,65.06666666666666
0.115,0.3554572271386431,0.6439545758183033,0.4580660489427418,1928,3496,78940,1066,5424,180.8,64.26666666666667
0.12,0.36590038314176243,0.6379425517702071,0.4650596542488434,1910,3310,79126,1084,5220,174.0,63.666666666666664
0.125,0.37771144278606966,0.633934535738143,0.47337573263499183,1898,3127,79309,1096,5025,167.5,63.266666666666666
0.13,0.3908237747653806,0.6259185036740147,0.4811914238027988,1874,2921,79515,1120,4795,159.83333333333334,62.46666666666667
0.135,0.40216684723726975,0.6199064796259185,0.4878433434091207,1856,2759,79677,1138,4615,153.83333333333334,61.86666666666667
0.14,0.41262353998203055,0.6135604542418169,0.49341928552242814,1837,2615,79821,1157,4452,148.4,61.233333333333334
0.145,0.4193325661680092,0.6085504342017368,0.49652541218149604,1822,2523,79913,1172,4345,144.83333333333334,60.733333333333334
0.15,0.4268494445757504,0.6032064128256514,0.4999307958477508,1806,2425,80011,1188,4231,141.03333333333333,60.2
0.155,0.43689083820662766,0.5988643954575819,0.5052127359819668,1793,2311,80125,1201,4104,136.8,59.766666666666666
0.16,0.44656297039638737,0.5945223780895124,0.5100286532951289,1780,2206,80230,1214,3986,132.86666666666667,59.333333333333336
0.165,0.4521604938271605,0.5871743486973948,0.5108979947689626,1758,2130,80306,1236,3888,129.6,58.6
0.17,0.46068308181096107,0.5811623246492986,0.5139565795303501,1740,2037,80399,1254,3777,125.9,58.0
0.175,0.4702364773036151,0.5778223112892451,0.5185074179529446,1730,1949,80487,1264,3679,122.63333333333334,57.666666666666664
0.18,0.479108635097493,0.5744822979291917,0.5224787363304982,1720,1870,80566,1274,3590,119.66666666666667,57.333333333333336
0.185,0.48672566371681414,0.5694722778891116,0.524857626596891,1705,1798,80638,1289,3503,116.76666666666667,56.833333333333336
0.19,0.4945985401459854,0.5657982631930528,0.5278080697928026,1694,1731,80705,1300,3425,114.16666666666667,56.46666666666667
0.195,0.5013404825737265,0.5621242484969939,0.5299952763344354,1683,1674,80762,1311,3357,111.9,56.1
0.2,0.5093129770992366,0.5571142284569138,0.5321422874461638,1668,1607,80829,1326,3275,109.16666666666667,55.6
0.205,0.5182413470533208,0.5551102204408818,0.5360425737784229,1662,1545,80891,1332,3207,106.9,55.4
0.21,0.523854961832061,0.5501002004008017,0.5366568914956011,1647,1497,80939,1347,3144,104.8,54.9
0.215,0.53132099967543,0.5467601870407481,0.5389300411522633,1637,1444,80992,1357,3081,102.7,54.56666666666667
0.22,0.5391506303915063,0.542752171008684,0.5409454061251665,1625,1389,81047,1369,3014,100.46666666666667,54.166666666666664
0.225,0.5447483958122256,0.5387441549766199,0.5417296389588581,1613,1348,81088,1381,2961,98.7,53.766666666666666
0.23,0.5525680799724233,0.5354041416165665,0.5438507209499577,1603,1298,81138,1391,2901,96.7,53.43333333333333
0.235,0.5568778438921946,0.5313961255845023,0.5438386600581098,1591,1266,81170,1403,2857,95.23333333333333,53.03333333333333
0.24,0.5633001422475107,0.5290581162324649,0.5456424388563555,1584,1228,81208,1410,2812,93.73333333333333,52.8
0.245,0.5700325732899023,0.5260521042084169,0.5471599791558104,1575,1188,81248,1419,2763,92.1,52.5
0.25,0.5773195876288659,0.5237140948563794,0.5492119089316987,1568,1148,81288,1426,2716,90.53333333333333,52.266666666666666
0.255,0.5819335572974991,0.5207080828323313,0.5496210118103296,1559,1120,81316,1435,2679,89.3,51.96666666666667
0.26,0.5889943074003795,0.518370073480294,0.5514300941552673,1552,1083,81353,1442,2635,87.83333333333333,51.733333333333334
0.265,0.5929203539823009,0.5146960587842352,0.5510459502950116,1541,1058,81378,1453,2599,86.63333333333334,51.36666666666667
0.27,0.5991379310344828,0.5106880427521711,0.5513883880274072,1529,1023,81413,1465,2552,85.06666666666666,50.96666666666667
0.275,0.6034276604224791,0.5056780227120908,0.550245320734145,1514,995,81441,1480,2509,83.63333333333334,50.46666666666667
0.28,0.6057420137484836,0.5003340013360054,0.5480153649167734,1498,975,81461,1496,2473,82.43333333333334,49.93333333333333
0.285,0.6125204582651391,0.5,0.5505700625229863,1497,947,81489,1497,2444,81.46666666666667,49.9
0.29,0.618830360846122,0.4983299933199733,0.5520814061054579,1492,919,81517,1502,2411,80.36666666666666,49.733333333333334
0.295,0.624262847514743,0.49498997995991983,0.5521609538002981,1482,892,81544,1512,2374,79.13333333333334,49.4
0.3,0.6327756327756328,0.4926519706078824,0.5539906103286385,1475,856,81580,1519,2331,77.7,49.166666666666664
0.305,0.6388888888888888,0.4916499665998664,0.5556813892034729,1472,832,81604,1522,2304,76.8,49.06666666666667
0.31,0.6456866197183099,0.48997995991983967,0.5571591340676035,1467,805,81631,1527,2272,75.73333333333333,48.9
0.315,0.650200267022697,0.4879759519038076,0.5575271894676589,1461,786,81650,1533,2247,74.9,48.7
