threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.265,0.6805054151624549,0.5228848821081831,0.5913725490196078,1508,708,81452,1376,2216,73.86666666666666,50.266666666666666
0.27,0.6890524379024839,0.5194174757281553,0.5923289837880585,1498,676,81484,1386,2174,72.46666666666667,49.93333333333333
0.275,0.696037296037296,0.5176837725381415,0.5937562139590377,1493,652,81508,1391,2145,71.5,49.766666666666666
0.28,0.7025106584557081,0.5142163661581137,0.5937937937937938,1483,628,81532,1401,2111,70.36666666666666,49.43333333333333
0.285,0.7077735124760077,0.5114424410540915,0.5938003220611917,1475,609,81551,1409,2084,69.46666666666667,49.166666666666664
0.29,0.7128329297820823,0.5104022191400832,0.5948676500303092,1472,593,81567,1412,2065,68.83333333333333,49.06666666666667
0.295,0.71484375,0.507628294036061,0.5936739659367397,1464,584,81576,1420,2048,68.26666666666667,48.8
0.3,0.7204938271604938,0.5058945908460472,0.5944184151558363,1459,566,81594,1425,2025,67.5,48.63333333333333
0.305,0.7262262262262262,0.503120665742025,0.5944285129045472,1451,547,81613,1433,1998,66.6,48.36666666666667
0.31,0.7283763277693475,0.49930651872399445,0.5924706850442296,1440,537,81623,1444,1977,65.9,48.0
0.315,0.7318321392016377,0.4958391123439667,0.5911533691608103,1430,524,81636,1454,1954,65.13333333333334,47.666666666666664
0.32,0.7357512953367875,0.492371705963939,0.5899459908599917,1420,510,81650,1464,1930,64.33333333333333,47.333333333333336
0.325,0.7389937106918238,0.48890429958391124,0.5884808013355592,1410,498,81662,1474,1908,63.6,47.0
0.33,0.7433862433862434,0.48717059639389737,0.5886049434436531,1405,485,81675,1479,1890,63.0,46.833333333333336
0.335,0.7470525187566989,0.48335644937586686,0.5869473684210527,1394,472,81688,1490,1866,62.2,46.46666666666667
0.34,0.7516268980477223,0.48058252427184467,0.5862944162436549,1386,458,81702,1498,1844,61.46666666666667,46.2
0.345,0.7558711086837794,0.4798890429958391,0.5870625662778366,1384,447,81713,1500,1831,61.03333333333333,46.13333333333333
0.35,0.7602209944751381,0.47711511789181693,0.5862803579037069,1376,434,81726,1508,1810,60.333333333333336,45.86666666666667
0.355,0.7635248187395427,0.4746879334257975,0.5854180029933719,1369,424,81736,1515,1793,59.766666666666666,45.63333333333333
0.36,0.7687959299039006,0.47156726768377255,0.5845690952073931,1360,409,81751,1524,1769,58.96666666666667,45.333333333333336
0.365,0.7719498289623717,0.4694868238557559,0.5838723587753342,1354,400,81760,1530,1754,58.46666666666667,45.13333333333333
0.37,0.7751004016064257,0.4684466019417476,0.583963691376702,1351,392,81768,1533,1743,58.1,45.03333333333333
0.375,0.7746967071057193,0.46497919556171985,0.581148429035753,1341,390,81770,1543,1731,57.7,44.7
0.38,0.7769994162288383,0.4615117891816921,0.5790733086795737,1331,382,81778,1553,1713,57.1,44.36666666666667
0.385,0.7782991202346041,0.460124826629681,0.5783395075179778,1327,378,81782,1557,1705,56.833333333333336,44.233333333333334
0.39,0.7829964328180737,0.4566574202496533,0.5768725361366623,1317,365,81795,1567,1682,56.06666666666667,43.9
0.395,0.7859712230215827,0.45457697642163664,0.5760105448154658,1311,357,81803,1573,1668,55.6,43.7
0.4,0.7893462469733656,0.4521497919556172,0.5749559082892417,1304,348,81812,1580,1652,55.06666666666667,43.46666666666667
0.405,0.7924297924297924,0.4500693481276006,0.5740822644847413,1298,340,81820,1586,1638,54.6,43.266666666666666
0.41,0.7961822660098522,0.4483356449375867,0.5736468500443656,1293,331,81829,1591,1624,54.13333333333333,43.1
0.415,0.7985120892746436,0.44660194174757284,0.5728263286635535,1288,325,81835,1596,1613,53.766666666666666,42.93333333333333
0.42,0.800251256281407,0.441747572815534,0.5692582663092046,1274,318,81842,1610,1592,53.06666666666667,42.46666666666667
0.425,0.8034134007585335,0.4407073509015257,0.5691894312583968,1271,311,81849,1613,1582,52.733333333333334,42.36666666666667
0.43,0.8063694267515924,0.4389736477115118,0.5684777727885048,1266,304,81856,1618,1570,52.333333333333336,42.2
0.435,0.8094011590470058,0.4358529819694868,0.5665990534144693,1257,296,81864,1627,1553,51.766666666666666,41.9
0.44,0.8125810635538262,0.4344660194174757,0.5661997288748305,1253,289,81871,1631,1542,51.4,41.766666666666666
0.445,0.814621409921671,0.43273231622746183,0.5652173913043478,1248,284,81876,1636,1532,51.06666666666667,41.6
0.45,0.8154957321076822,0.4306518723994452,0.5636487406398911,1242,281,81879,1642,1523,50.766666666666666,41.4
0.455,0.8168642951251647,0.42995839112343964,0.5633802816901409,1240,278,81882,1644,1518,50.6,41.333333333333336
0.46,0.8176392572944297,0.4275312066574202,0.5614754098360655,1233,275,81885,1651,1508,50.266666666666666,41.1
0.465,0.8207357859531773,0.4254507628294036,0.5604019182461749,1227,268,81892,1657,1495,49.833333333333336,40.9
0.47,0.823489477257298,0.42059639389736475,0.556805141152169,1213,260,81900,1671,1473,49.1,40.43333333333333
0.475,0.8269493844049247,0.41920943134535366,0.5563736769443166,1209,253,81907,1675,1462,48.733333333333334,40.3
0.48,0.829655172413793,0.417128987517337,0.5551453622519613,1203,247,81913,1681,1450,48.333333333333336,40.1
0.485,0.8322894919972165,0.4147018030513176,0.5535755612126823,1196,241,81919,1688,1437,47.9,39.86666666666667
0.49,0.8326330532212886,0.4122746185852982,0.5514842300556586,1189,239,81921,1695,1428,47.6,39.63333333333333
0.495,0.8352112676056338,0.41123439667128986,0.5511152416356877,1186,234,81926,1698,1420,47.333333333333336,39.53333333333333
0.5,0.8362863217576187,0.4091539528432732,0.549476135040745,1180,231,81929,1704,1411,47.03333333333333,39.333333333333336
0.505,0.8385714285714285,0.4070735090152566,0.5480859010270774,1174,226,81934,1710,1400,46.666666666666664,39.13333333333333
0.51,0.8417630057803468,0.4039528432732316,0.5459231490159325,1165,219,81941,1719,1384,46.13333333333333,38.833333333333336
0.515,0.8420669577874818,0.4011789181692094,0.5434476279943635,1157,217,81943,1727,1374,45.8,38.56666666666667
0.52,0.8437956204379562,0.40083217753120665,0.543488481429243,1156,214,81946,1728,1370,45.666666666666664,38.53333333333333
0.525,0.8464364437913299,0.39944521497919555,0.542756183745583,1152,209,81951,1732,1361,45.36666666666667,38.4
