threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.175,0.5636655948553054,0.6078363384188626,0.5849182515849182,1753,1357,80803,1131,3110,103.66666666666667,58.43333333333333
0.18,0.5742574257425742,0.6033287101248266,0.5884342238755496,1740,1290,80870,1144,3030,101.0,58.0
0.185,0.5813718897108272,0.5995145631067961,0.5903038579720041,1729,1245,80915,1155,2974,99.13333333333334,57.63333333333333
0.19,0.5900962861072903,0.59500693481276,0.5925414364640884,1716,1192,80968,1168,2908,96.93333333333334,57.2
0.195,0.600705467372134,0.590499306518724,0.5955586641021158,1703,1132,81028,1181,2835,94.5,56.766666666666666
0.2,0.6085396483674201,0.5880721220527045,0.5981308411214953,1696,1091,81069,1188,2787,92.9,56.53333333333333
0.205,0.616398243045388,0.5839112343966713,0.5997150997150997,1684,1048,81112,1200,2732,91.06666666666666,56.13333333333333
0.21,0.624813153961136,0.579750346740638,0.6014388489208632,1672,1004,81156,1212,2676,89.2,55.733333333333334
0.215,0.6304761904761905,0.5738557558945908,0.6008349972771827,1655,970,81190,1229,2625,87.5,55.166666666666664
0.22,0.6378776142525174,0.5710818307905686,0.6026344676180021,1647,935,81225,1237,2582,86.06666666666666,54.9
0.225,0.6425765907305577,0.5672676837725381,0.6025782688766115,1636,910,81250,1248,2546,84.86666666666666,54.53333333333333
0.23,0.6512,0.5644937586685159,0.6047548291233283,1628,872,81288,1256,2500,83.33333333333333,54.266666666666666
0.235,0.6593495934959349,0.5624133148404993,0.6070359281437127,1622,838,81322,1262,2460,82.0,54.06666666666667
0.24,0.6651546391752577,0.5592926490984743,0.6076473912224525,1613,812,81348,1271,2425,80.83333333333333,53.766666666666666
0.245,0.6718292172457095,0.5565187239944521,0.6087616157784942,1605,784,81376,1279,2389,79.63333333333334,53.5
0.25,0.6770080747981301,0.5523578363384188,0.6083635669276303,1593,760,81400,1291,2353,78.43333333333334,53.1
0.255,0.6802575107296137,0.5495839112343966,0.6079785193709244,1585,745,81415,1299,2330,77.66666666666667,52.833333333333336
0.26,0.6859504132231405,0.5468099861303745,0.6085278796064055,1577,722,81438,1307,2299,76.63333333333334,52.56666666666667
0.265,0.691696113074205,0.542995839112344,0.6083916083916084,1566,698,81462,1318,2264,75.46666666666667,52.2
0.27,0.6973214285714285,0.5416088765603329,0.6096799375487899,1562,678,81482,1322,2240,74.66666666666667,52.06666666666667
0.275,0.7034013605442176,0.5377947295423023,0.609550009825113,1551,654,81506,1333,2205,73.5,51.7
0.28,0.7113259668508287,0.5357142857142857,0.6111550632911393,1545,627,81533,1339,2172,72.4,51.5
0.285,0.7156177156177156,0.532246879334258,0.610459335852058,1535,610,81550,1349,2145,71.5,51.166666666666664
0.29,0.7192651907677814,0.5294729542302358,0.609946075494308,1527,596,81564,1357,2123,70.76666666666667,50.9
0.295,0.7240228789323165,0.5266990291262136,0.6097952629466078,1519,579,81581,1365,2098,69.93333333333334,50.63333333333333
0.3,0.7280617164898746,0.5235783633841886,0.609116579265833,1510,564,81596,1374,2074,69.13333333333334,50.333333333333336
0.305,0.7326829268292683,0.5208044382801664,0.6088366436967977,1502,548,81612,1382,2050,68.33333333333333,50.06666666666667
0.31,0.7373090192212913,0.5187239944521498,0.6089965397923877,1496,533,81627,1388,2029,67.63333333333334,49.86666666666667
0.315,0.7380478087649402,0.513869625520111,0.6058871627146362,1482,526,81634,1402,2008,66.93333333333334,49.4
0.32,0.7448206164729662,0.5110957004160888,0.6062101583384741,1474,505,81655,1410,1979,65.96666666666667,49.13333333333333
0.325,0.7507692307692307,0.507628294036061,0.6057095573024411,1464,486,81674,1420,1950,65.0,48.8
0.33,0.7529715762273902,0.5052011095700416,0.6046897696617556,1457,478,81682,1427,1935,64.5,48.56666666666667
0.335,0.7557291666666667,0.503120665742025,0.6040799333888427,1451,469,81691,1433,1920,64.0,48.36666666666667
0.34,0.7601262493424513,0.5010402219140083,0.6039707419017764,1445,456,81704,1439,1901,63.36666666666667,48.166666666666664
0.345,0.7628920786815524,0.4975728155339806,0.602308499475341,1435,446,81714,1449,1881,62.7,47.833333333333336
0.35,0.76524064171123,0.4961858529819695,0.6020193521245267,1431,439,81721,1453,1870,62.333333333333336,47.7
0.355,0.768733153638814,0.4944521497919556,0.601814728845748,1426,429,81731,1458,1855,61.833333333333336,47.53333333333333
0.36,0.7707767517653449,0.4920249653259362,0.6006349206349206,1419,422,81738,1465,1841,61.36666666666667,47.3
0.365,0.774423710208562,0.489251040221914,0.5996600084997875,1411,411,81749,1473,1822,60.733333333333334,47.03333333333333
0.37,0.7761852260198456,0.4882108183079057,0.5994040017028524,1408,406,81754,1476,1814,60.46666666666667,46.93333333333333
0.375,0.778642936596218,0.4854368932038835,0.598035027765912,1400,398,81762,1484,1798,59.93333333333333,46.666666666666664
0.38,0.7811447811447811,0.4826629680998613,0.5966566652378912,1392,390,81770,1492,1782,59.4,46.4
0.385,0.7823397075365579,0.48231622746185854,0.5967395967395969,1391,387,81773,1493,1778,59.266666666666666,46.36666666666667
0.39,0.7829545454545455,0.4778085991678225,0.5934539190353144,1378,382,81778,1506,1760,58.666666666666664,45.93333333333333
0.395,0.7850200114351058,0.4760748959778086,0.5927045111159076,1373,376,81784,1511,1749,58.3,45.766666666666666
0.4,0.7872340425531915,0.4746879334257975,0.5922561107505949,1369,370,81790,1515,1739,57.96666666666667,45.63333333333333
0.405,0.7887731481481481,0.47260748959778087,0.5910667823070253,1363,365,81795,1521,1728,57.6,45.43333333333333
0.41,0.793465577596266,0.47156726768377255,0.5915615484993475,1360,354,81806,1524,1714,57.13333333333333,45.333333333333336
0.415,0.7964705882352942,0.4694868238557559,0.5907504363001745,1354,346,81814,1530,1700,56.666666666666664,45.13333333333333
0.42,0.8002371072910492,0.4680998613037448,0.5906803762852767,1350,337,81823,1534,1687,56.233333333333334,45.0
