scenario,threshold,total_cost,precision,recall,f1
base,0.085,216907.05630000003,0.3592100783112019,0.731622746185853,0.4818451701301667
FN cost -50 %,0.17,132894.11479999998,0.5547880690737833,0.6126907073509015,0.5823035096391498
FN cost +50 %,0.075,282948.1881,0.3308935651113144,0.7524271844660194,0.4596483795805973
FP cost -50 %,0.055,169246.42035,0.2671711292200233,0.7957697642163661,0.4000348614258322
FP cost +50 %,0.11,247218.22835,0.42351426732460845,0.6844660194174758,0.5232604373757456
