scenario,threshold,total_cost,precision,recall,f1
base,0.095,230013.7892,0.37727357959872493,0.6976421636615812,0.48971644152367044
FN cost -50 %,0.16,138145.5612,0.5256525652565257,0.6074895977808599,0.563615891909281
FN cost +50 %,0.065,289318.6702,0.28727928856811447,0.7728848821081831,0.41886686084750546
FP cost -50 %,0.065,173380.77435000002,0.28727928856811447,0.7728848821081831,0.41886686084750546
FP cost +50 %,0.125,258955.8013,0.4544358727097396,0.6536061026352289,0.5361205915813425
