threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.16,604550.085,60999.171599999994,665549.2566,4605,3666,2925,0.043494951619688686,0.5567645992020311,0.6115537848605578,0.5828745016138218
0.165,611333.672,57623.6086,668957.2806,4578,3491,2952,0.042432688262515776,0.5673565497583344,0.6079681274900398,0.5869607026091417
0.17,618637.7609999999,54950.38560000001,673588.1466,4552,3366,2978,0.041638620109381574,0.5748926496590048,0.6045152722443559,0.589331952356292
0.175,627343.547,52404.102,679747.649,4527,3218,3003,0.04072885990744636,0.5845061329890252,0.6011952191235059,0.592733224222586
0.18,632561.553,50546.6842,683108.2372,4498,3090,3032,0.03990323937736643,0.5927780706378493,0.59734395750332,0.5950522555893637
0.185,639665.562,47845.2545,687510.8165000001,4467,2952,3063,0.039014514093395035,0.6021027092600081,0.5932270916334661,0.597631948625326
0.19,643971.185,46318.7682,690289.9532000001,4447,2868,3083,0.038467606226335715,0.6079289131920711,0.5905710491367862,0.5991242842707982
0.195,652340.4269999999,44377.4911,696717.9180999999,4417,2769,3113,0.037789230122002526,0.6146674088505427,0.5865869853917662,0.6002989942919271
0.2,657125.488,42718.259399999995,699843.7474,4395,2677,3135,0.03718973496003366,0.6214649321266968,0.5836653386454184,0.601972332557184
0.205,664958.263,41057.2515,706015.5145,4369,2583,3161,0.036558687421119056,0.628452243958573,0.5802124833997344,0.6033697003176356
0.21,669825.232,39114.3133,708939.5453,4345,2481,3185,0.03589608750525873,0.6365367711690595,0.5770252324037185,0.6053218166620228
0.215,672153.042,37746.0266,709899.0686,4332,2396,3198,0.03538073201514514,0.6438763376932224,0.5752988047808765,0.6076588581848787
0.22,676739.2760000001,35980.0962,712719.3722000001,4311,2313,3219,0.03483382414808582,0.6508152173913043,0.5725099601593625,0.609156422212802
0.225,681271.392,34860.7963,716132.1883,4290,2257,3240,0.03442890197728229,0.6552619520391019,0.5697211155378487,0.6095048660936279
0.23,688190.992,33537.516,721728.5079999999,4269,2193,3261,0.033981909970551116,0.6606313834726091,0.5669322709163347,0.6102058319039451
0.235,693081.584,32214.3501,725295.9341000001,4254,2117,3276,0.03350336558687421,0.667713074870507,0.5649402390438247,0.6120422991151716
0.24,700005.415,30609.1329,730614.5479,4219,2048,3311,0.03295645771981489,0.6732088718685176,0.5602921646746348,0.6115822280205843
0.245,709012.875,29503.033,738515.908,4193,1988,3337,0.032504206983592764,0.6783691959229898,0.5568393094289509,0.611625701991102
0.25,713991.409,28714.5444,742705.9534,4170,1938,3360,0.03212031973075305,0.6827111984282908,0.5537848605577689,0.6115266168059832
0.255,717568.311,27400.057500000003,744968.3685,4155,1881,3375,0.03174169120740429,0.6883697813121272,0.5517928286852589,0.6125608137992039
0.26,722582.466,26300.659200000002,748883.1252,4137,1814,3393,0.03129469920067312,0.695177281129222,0.549402390438247,0.613752688969661
