threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.15,586785.875,70391.7646,657177.6396,4611,4058,2919,0.04558792595708877,0.5318952589687392,0.6123505976095618,0.5692944008889439
0.155,594521.0970000001,66629.67079999999,661150.7678,4569,3862,2961,0.04433634833824148,0.5419285968449769,0.6067729083665339,0.5725205187644884
0.16,602829.0430000001,63604.0122,666433.0552000001,4534,3700,2996,0.04330037862852335,0.5506436725771192,0.602124833997344,0.5752347120020298
0.165,609659.318,60961.1803,670620.4983,4500,3535,3030,0.042253891459823306,0.5600497822028625,0.5976095617529881,0.5782203662062319
0.17,614350.773,57283.003300000004,671633.7763,4472,3365,3058,0.04121266302061422,0.5706265152481818,0.5938911022576361,0.5820264202511876
0.175,625722.145,54582.8325,680304.9775,4425,3213,3105,0.040166175851914176,0.5793401413982718,0.5876494023904383,0.5834651898734178
0.18,634922.716,51274.1998,686196.9158000001,4393,3068,3137,0.03923538073201514,0.5887950676852969,0.5833997343957503,0.5860849843239277
0.185,640863.4480000001,49681.4528,690544.9008000001,4368,2962,3162,0.038546487168700044,0.5959072305593451,0.5800796812749004,0.5878869448183043
0.19,649416.5249999999,47186.997500000005,696603.5225,4335,2851,3195,0.037789230122002526,0.6032563317561926,0.5756972111553785,0.5891546615928241
0.195,665679.428,45095.6515,710775.0795,4301,2760,3229,0.03713188893563315,0.6091205211726385,0.5711819389110225,0.5895414981838119
0.2,674042.25,43453.458,717495.708,4277,2659,3253,0.03647454774926378,0.6166378316032295,0.5679946879150066,0.591317572238352
0.205,678749.8809999999,41574.6439,720324.5249,4253,2569,3277,0.03587505258729491,0.6234242157725007,0.5648074369189907,0.592670011148272
0.21,686785.7949999999,40369.7761,727155.5711,4225,2491,3305,0.03531762726125368,0.6290946992257296,0.5610889774236387,0.5931489540923768
0.215,689878.117,39002.5155,728880.6325,4210,2413,3320,0.034828565418594866,0.6356635965574513,0.5590969455511288,0.5949268706281354
0.22,696691.7549999999,37597.994300000006,734289.7492999999,4187,2328,3343,0.03426062263357173,0.6426707597851112,0.5560424966799469,0.5962264150943396
0.225,701253.077,35778.0907,737031.1677000001,4160,2244,3370,0.033676903660075724,0.6495940037476577,0.5524568393094289,0.5971006171953495
0.23,708756.8389999999,34403.5533,743160.3923,4133,2168,3397,0.03313525452250736,0.6559276305348357,0.548871181938911,0.5976429759236498
0.235,714486.211,33232.327399999995,747718.5384,4112,2096,3418,0.03264619267984855,0.6623711340206185,0.5460823373173971,0.598631532974232
0.24,720839.233,32180.8344,753020.0674,4076,2036,3454,0.03214135464871687,0.6668848167539267,0.5413014608233732,0.5975663392464449
0.245,723677.404,31306.328800000003,754983.7328,4057,1981,3473,0.0317522086663862,0.6719112288837363,0.5387782204515272,0.5980247641509434
0.25,728230.017,30198.017,758428.034,4041,1916,3489,0.03132625157761885,0.6783615914050697,0.5366533864541833,0.5992437161711277
0.255,735196.8770000001,29467.499300000003,764664.3763000001,4017,1871,3513,0.030963399242742953,0.682235054347826,0.5334661354581673,0.5987479505142347
0.26,737925.899,28370.4894,766296.3883999999,4003,1803,3527,0.030532183424484643,0.6894591801584568,0.5316069057104914,0.6003299340131975
0.265,741116.9940000001,27081.678799999998,768198.6728000001,3982,1751,3548,0.03014829617164493,0.6945752660038375,0.5288180610889774,0.6004674658825304
0.27,746365.733,25877.89,772243.623,3960,1698,3570,0.029753891459823305,0.6998939554612937,0.5258964143426295,0.6005459508644222
0.275,751399.2309999999,25014.3508,776413.5817999999,3939,1655,3591,0.029417332772402188,0.7041473006792992,0.5231075697211155,0.6002743066138372
0.28,754882.63,24051.6382,778934.2682,3918,1612,3612,0.029080774084981068,0.708499095840868,0.5203187250996016,0.6
0.285,759056.959,23273.630600000004,782330.5896000001,3902,1567,3628,0.028759991586032815,0.7134759553848967,0.5181938911022577,0.600353873374875
0.29,760356.9519999999,22498.2204,782855.1723999999,3888,1533,3642,0.028507572570466974,0.7172108467072495,0.5163346613545817,0.600416956219597
0.295,764368.362,21966.455800000003,786334.8178,3872,1485,3658,0.028171013883045857,0.7227926078028748,0.5142098273572377,0.6009156514316754
0.3,768480.715,21438.381800000003,789919.0967999999,3855,1449,3675,0.027892301220025242,0.7268099547511312,0.5119521912350598,0.600748013090229
0.305,772527.867,20867.6699,793395.5369,3838,1416,3692,0.027629364745477492,0.7304910544347164,0.5096945551128818,0.6004380475594493
0.31,774313.061,19742.9483,794056.0093,3824,1378,3706,0.027355910811947833,0.7351018838908112,0.5078353253652058,0.6006911718504556
0.315,776721.767,19345.7572,796067.5242,3809,1348,3721,0.02711926798485486,0.7386077176653093,0.5058432934926959,0.6004571608733349
0.32,778709.839,18898.699699999997,797608.5387,3796,1312,3734,0.026861590239798065,0.7431480031323414,0.5041168658698539,0.60072796328533
0.325,781773.909,18415.4624,800189.3714,3783,1282,3747,0.026635464871687,0.7468904244817374,0.5023904382470119,0.6007145692735212
0.33,786203.9739999999,17995.1443,804199.1183,3761,1257,3769,0.026388304585612116,0.7495017935432443,0.49946879150066403,0.5994580809690787
0.335,788258.327,17577.1889,805835.5159,3752,1232,3778,0.026209507782919646,0.7528089887640449,0.498273572377158,0.5996483937989452
0.34,790097.0079999999,17062.6225,807159.6305,3736,1212,3794,0.026020193521245266,0.7550525464834277,0.4961487383798141,0.5988139124859753
0.345,793439.735,16572.5399,810012.2749,3713,1177,3817,0.025715187210769878,0.7593047034764826,0.49309428950863216,0.5979066022544284
0.35,797683.337,15983.6468,813666.9838,3694,1147,3836,0.025457509465713082,0.7630654823383598,0.4905710491367862,0.5972031363673107
0.355,800490.826,15529.0309,816019.8569,3678,1121,3852,0.025236642827092974,0.7664096686809752,0.48844621513944225,0.5966420634276909
0.36,802820.407,15164.0867,817984.4937,3665,1099,3865,0.02505258729490955,0.769311502938707,0.4867197875166003,0.5962258012038393
0.365,805144.47,14929.3548,820073.8248,3648,1084,3882,0.02488430795119899,0.7709213863060017,0.48446215139442234,0.5950089708041102
0.37,808928.068,14482.0991,823410.1671,3633,1060,3897,0.024679217501051745,0.7741316854890262,0.4824701195219124,0.5944530802585289
0.375,810789.888,14316.908899999999,825106.7969000001,3617,1043,3913,0.02450567942785023,0.7761802575107296,0.4803452855245684,0.5934372436423297
0.38,813994.107,14002.8708,827996.9778,3601,1022,3929,0.024311106436684896,0.7789314298074843,0.4782204515272244,0.5926108779725171
0.385,817134.095,13683.478000000001,830817.573,3581,1009,3949,0.024137568363483384,0.7801742919389978,0.4755644090305445,0.5909240924092409
0.39,817399.557,13381.8308,830781.3878,3576,980,3954,0.023958771560790914,0.7848990342405618,0.4749003984063745,0.5917590600695019
0.395,819947.599,12991.6265,832939.2255000001,3561,966,3969,0.023806268405553218,0.7866136514247847,0.47290836653386453,0.5906942025379447
0.4,821697.78,12817.0547,834514.8347,3554,951,3976,0.02369057635675221,0.7889012208657048,0.47197875166002656,0.5906107187370171
0.405,823158.753,12461.554,835620.307,3540,928,3990,0.023496003365586875,0.7923008057296329,0.4701195219123506,0.5900983497249542
0.41,829108.632,12222.4077,841331.0397,3520,912,4010,0.023306689103912495,0.7942238267148014,0.4674634794156706,0.5885303460959704
0.415,832259.1510000001,11973.2766,844232.4276,3502,895,4028,0.02312263357172907,0.7964521264498522,0.4650730411686587,0.5872390374779911
0.42,833147.528,11745.558,844893.086,3494,884,4036,0.023022717711400926,0.7980813156692553,0.46401062416998673,0.5868323815922069
0.425,834553.703,11529.7638,846083.4667999999,3481,869,4049,0.022875473285654185,0.8002298850574713,0.46228419654714475,0.586026936026936
0.43,835692.291,11229.940999999999,846922.232,3467,854,4063,0.022722970130416492,0.8023605646841009,0.4604249667994688,0.5850983039405958
0.435,839449.3829999999,10978.0871,850427.4700999999,3455,841,4075,0.022591501893142615,0.8042364990689013,0.4588313413014608,0.5843057669541687
0.44,840843.931,10662.6936,851506.6246,3438,824,4092,0.02241270509045015,0.8066635382449554,0.45657370517928286,0.5831071913161465
0.445,842579.665,10216.6857,852796.3507000001,3418,803,4112,0.022197097181320992,0.8097607202084814,0.4539176626826029,0.5817377244489832
0.45,845899.0730000001,10080.4595,855979.5325000001,3402,787,4128,0.022028817837610435,0.8121269992838386,0.45179282868525894,0.5805956139602355
0.455,850648.2679999999,9708.0579,860356.3258999999,3385,769,4145,0.02184476230542701,0.8148772267693789,0.449535192563081,0.5794248545018829
0.46,852227.047,9501.8617,861728.9087,3376,756,4154,0.021729070256625998,0.8170377541142304,0.44833997343957505,0.5789744469216258
0.465,855770.01,9329.508100000001,865099.5181,3358,744,4172,0.02157130837189735,0.8186250609458801,0.4459495351925631,0.577372764786795
0.47,857913.267,9135.3904,867048.6574,3345,732,4185,0.021439840134623474,0.8204562178072112,0.4442231075697211,0.5763763246316878
0.475,861528.198,8798.0383,870326.2363,3326,710,4204,0.02122423222549432,0.8240832507433102,0.4416998671978752,0.5751340134878092
