scenario,threshold,total_cost,precision,recall,f1
base,0.08,227214.23350000003,0.3352053915275995,0.7243411927877947,0.4583150504607284
FN cost -50 %,0.165,139427.7493,0.5362903225806451,0.5995145631067961,0.566142763588736
FN cost +50 %,0.07,288228.9861,0.30473248139306275,0.7524271844660194,0.4337831084457771
FP cost -50 %,0.055,173859.5092,0.2540462105145664,0.7891816920943134,0.384362070421346
FP cost +50 %,0.14,259028.0146,0.486661277283751,0.6262135922330098,0.5476876421531464
