threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.095,481363.474,140551.31170000002,621914.7857,5078,7496,2452,0.06612326461926799,0.4038492126610466,0.6743691899070385,0.5051730998806208
0.1,496445.256,129823.4989,626268.7549,5022,6994,2508,0.0631888935633151,0.4179427430093209,0.6669322709163347,0.51386472935639
0.105,509810.83999999997,120753.9472,630564.7871999999,4965,6525,2565,0.06042280185107278,0.4321148825065274,0.6593625498007968,0.5220820189274448
0.11,519337.84900000005,112583.23009999999,631921.0791,4925,6125,2605,0.05810896087505259,0.4457013574660634,0.6540504648074369,0.5301399354144242
0.115,531165.182,104954.27700000002,636119.459,4880,5790,2650,0.056110643668489696,0.45735707591377694,0.648074369189907,0.5362637362637362
0.12,539905.539,98055.963,637961.502,4833,5447,2697,0.05405973916701725,0.470136186770428,0.6418326693227092,0.5427288040426727
0.125,554880.814,90997.98389999999,645878.7979,4777,5132,2753,0.05210875052587295,0.4820869916237764,0.6343957503320053,0.5478525144790413
0.13,566788.933,85837.3488,652626.2818,4744,4863,2786,0.05052061421960454,0.4938065993546372,0.6300132802124834,0.5536558324094065
0.135,575434.039,80356.6523,655790.6913,4712,4597,2818,0.04895351283129996,0.5061768181329895,0.6257636122177955,0.5596531860561792
0.14,586723.669,75743.28520000001,662466.9542,4673,4359,2857,0.04749684476230543,0.5173826395039858,0.6205843293492695,0.5643038280400917
0.145,595274.5149999999,71231.6483,666506.1632999999,4633,4133,2897,0.0460980227177114,0.5285192790326261,0.6152722443559097,0.5686057928325969
0.15,603490.328,67839.4472,671329.7752,4605,3947,2925,0.04497265460664703,0.5384705332086062,0.6115537848605578,0.572689963934834
0.155,609599.955,64375.3378,673975.2927999999,4579,3766,2951,0.043884097602019355,0.5487118034751348,0.6081009296148738,0.5768818897637795
0.16,616774.895,60810.9375,677585.8325,4542,3590,2988,0.04276398822044594,0.55853418593212,0.6031872509960159,0.5800025539522411
0.165,627362.925,57176.5162,684539.4412,4498,3427,3032,0.04167543121581826,0.5675709779179811,0.59734395750332,0.5820769977353607
0.17,634548.523,54882.225300000006,689430.7483000001,4468,3312,3062,0.040912915439629785,0.574293059125964,0.5933598937583001,0.5836708033964728
0.175,641844.0109999999,52450.831099999996,694294.8420999999,4442,3161,3088,0.03998212031973075,0.5842430619492306,0.5899070385126162,0.5870613890173791
0.18,645826.345,49833.2751,695659.6201,4418,3020,3112,0.03911442995372318,0.5939768755041678,0.5867197875166003,0.5903260288615713
0.185,651430.352,46951.980299999996,698382.3322999999,4387,2900,3143,0.038320361800588974,0.6020310141347606,0.5826029216467463,0.59215765674563
0.19,658615.2949999999,44672.40640000001,703287.7013999999,4358,2787,3172,0.03757362221287337,0.6099370188943317,0.5787516600265604,0.5939352640545145
0.195,664527.961,42484.3862,707012.3472,4335,2683,3195,0.036905763567522086,0.6176973496722713,0.5756972111553785,0.5959582073137202
0.2,670475.871,40940.2719,711416.1429000001,4306,2586,3224,0.03624316365166176,0.6247823563551944,0.5718459495351925,0.5971432533629178
0.205,678561.138,39091.462400000004,717652.6004,4280,2483,3250,0.035564787547328565,0.6328552417566169,0.5683930942895087,0.598894563772476
0.21,683012.858,37493.423,720506.281,4259,2402,3271,0.035028397139251155,0.6393934844617926,0.5656042496679947,0.6002395884715666
0.215,689714.8049999999,35930.7985,725645.6035,4236,2317,3294,0.034460454354228016,0.6464214863421334,0.5625498007968127,0.6015763686714478
0.22,699391.2860000001,34349.2184,733740.5044000001,4207,2236,3323,0.03388199411022297,0.6529566971907497,0.5586985391766268,0.6021613110999786
0.225,702136.27,33003.7361,735140.0061,4185,2163,3345,0.03338241480858225,0.6592627599243857,0.5557768924302788,0.603112840466926
0.23,706064.014,31855.4408,737919.4548,4168,2086,3362,0.03288809423643248,0.6664534697793412,0.553519256308101,0.6047591410330818
0.235,711582.219,30905.2205,742487.4395000001,4142,2027,3388,0.032441102229701306,0.6714216242502836,0.550066401062417,0.6047156726768377
0.24,714859.206,29977.906600000002,744837.1126,4125,1972,3405,0.03206247370635255,0.6765622437264228,0.547808764940239,0.6054157187935717
0.245,719763.379,29045.562,748808.941,4097,1912,3433,0.031599705511148504,0.6818106174072225,0.5440903054448871,0.605214565329788
0.25,723674.052,28262.0033,751936.0553,4075,1857,3455,0.03119478334034497,0.6869521240728254,0.5411686586985391,0.6054078145892141
0.255,727839.835,27534.969100000002,755374.8041,4053,1806,3477,0.030810896087505257,0.6917562724014337,0.5382470119521913,0.6054223616401523
0.26,732596.6719999999,26178.1961,758774.8680999998,4028,1750,3502,0.030384938998737905,0.6971270335756317,0.5349269588313413,0.6053501653140968
0.265,735729.237,25552.3882,761281.6252,4013,1708,3517,0.03008519141775347,0.7014507953155042,0.5329349269588314,0.6056901365934647
0.27,739308.7729999999,24975.660600000003,764284.4335999999,3997,1668,3533,0.029790702566259993,0.7055604589585172,0.5308100929614874,0.6058355437665782
0.275,745164.5079999999,24011.6435,769176.1514999999,3979,1619,3551,0.029438367690366007,0.710789567702751,0.5284196547144754,0.6061852528945765
0.28,748090.449,23238.545700000002,771328.9947,3964,1579,3566,0.029149137568363483,0.7151362078296951,0.5264276228419654,0.6064407557561386
