cutoff,mature_through,train_end,month,n_month,positives,challenger_pr_auc,challenger_roc_auc,incumbent,incumbent_pr_auc,promoted,reason,serving,block_threshold,serving_pr_auc,serving_recall_at_p90,served_month,served_positives,served_pr_auc,served_block_precision,served_recall_block,staleness_days,delta
120,90,60,61-90,92189,3724,0.6549849616865026,0.9142006754660266,,,True,no incumbent (bootstrap),xgb_f5_capacity_through_day60,0.46,0.6549849616865026,0.4301825993555317,121-150,2850.0,0.4767916591213313,0.6925170068027211,0.35719298245614034,90.0,
150,120,90,91-120,98615,3898,0.6146045383738401,0.9186598157684316,xgb_f5_capacity_through_day60,0.5471156672078009,True,challenger +0.0675 >= margin 0.005,xgb_f5_capacity_through_day90,0.47,0.6146045383738401,0.35094920472036945,,,,,,,0.06748887116603919
