cutoff,train_end,month,n_month,positives,challenger_pr_auc,challenger_roc_auc,incumbent,incumbent_pr_auc,promoted,reason,serving,block_threshold,serving_pr_auc,serving_recall_at_p90,delta
120,90,91-120,98615,3898,0.6146045383738401,0.9186598157684316,,,True,no incumbent (bootstrap),xgb_f5_capacity_through_day90,0.47,0.6146045383738401,0.35094920472036945,
150,120,121-150,83571,2850,0.6467012333423673,0.9346755588938898,xgb_f5_capacity_through_day90,0.5216270703732924,True,challenger +0.1251 >= margin 0.005,xgb_f5_capacity_through_day120,0.425,0.6467012333423673,0.3550877192982456,0.12507416296907492
