trees,train_pr_auc,val_pr_auc,gap
100.0,0.7322189985183973,0.5351998076837086,0.19701919083468877
200.0,0.7900549390194875,0.5642270035475028,0.22582793547198476
300.0,0.8297338627129214,0.5810854197386802,0.24864844297424116
400.0,0.8575624542191895,0.5940212332480882,0.26354122097110133
500.0,0.8798160895805673,0.6022061301360564,0.27760995944451095
600.0,0.8992893881469637,0.6114462794407046,0.28784310870625907
700.0,0.9142055586939929,0.6167142209508847,0.2974913377431082
800.0,0.9272557335004963,0.6189589935817271,0.30829673991876916
900.0,0.9367471597414777,0.6207580076375518,0.31598915210392586
1000.0,0.945689519586748,0.6221180570152177,0.32357146257153024
1100.0,0.9534456164832265,0.6232189626352806,0.3302266538479458
1200.0,0.9599739725790809,0.6234865841456679,0.33648738843341297
1300.0,0.9656150341165243,0.6243107694318435,0.3413042646846808
1400.0,0.9703396780288225,0.6248280557378393,0.3455116222909832
1500.0,0.9744305146343233,0.625213482071864,0.3492170325624593
1600.0,0.9785562041309699,0.6258275490469319,0.35272865508403795
1700.0,0.981824617577377,0.6259924706545298,0.35583214692284726
1800.0,0.9846244853213375,0.6253813132372038,0.3592431720841337
1900.0,0.9869517904667248,0.6255573347170471,0.36139445574967766
2000.0,0.9888644173672024,0.6256778275037367,0.36318658986346575
