candidate,train_end,gap,window,n,positives,pr_auc,roc_auc,recall_at_p90,seed
xgb_f5_interactions,60,0,61-90,92189,3724,0.6433843576167274,0.9115610693494604,0.41944146079484423,2
xgb_f5_interactions,60,7,68-97,96483,3597,0.5751122007977617,0.8905433094136739,0.33305532388101194,2
xgb_f5_interactions,60,14,75-104,97746,3437,0.5390457423939558,0.8821725794049018,0.311318009892348,2
xgb_f5_interactions,60,30,91-120,98615,3898,0.5418017826056661,0.8862814539315745,0.2655207798871216,2
xgb_f5_interactions,60,60,121-150,83571,2850,0.46957342609342556,0.8667170329162807,0.16771929824561405,2
xgb_f5_interactions,90,0,91-120,98615,3898,0.6090598232740035,0.918786731067997,0.31631605951770136,2
xgb_f5_interactions,90,7,98-127,93814,3699,0.6173990679299778,0.9232445094300444,0.3376588267099216,2
xgb_f5_interactions,90,14,105-134,90773,3730,0.6030484188317898,0.9190958174535103,0.28927613941018765,2
xgb_f5_interactions,90,30,121-150,83571,2850,0.5174491577236828,0.9020203051576613,0.17789473684210527,2
xgb_f5_interactions,120,0,121-150,83571,2850,0.6206565083845383,0.9294867158853639,0.32526315789473687,2
xgb_f5_capacity,60,0,61-90,92189,3724,0.6524039123540337,0.9136606999812957,0.4264232008592911,2
xgb_f5_capacity,60,7,68-97,96483,3597,0.5797075974939858,0.8922294439551758,0.3269391159299416,2
xgb_f5_capacity,60,14,75-104,97746,3437,0.5415404368840323,0.8846491124408566,0.2961885365144021,2
xgb_f5_capacity,60,30,91-120,98615,3898,0.544595684419102,0.8906752454598176,0.2609030271934325,2
xgb_f5_capacity,60,60,121-150,83571,2850,0.48170598929347175,0.879334654322654,0.16210526315789472,2
xgb_f5_capacity,90,0,91-120,98615,3898,0.6134046730570006,0.9182947968253655,0.3440225756798358,2
xgb_f5_capacity,90,7,98-127,93814,3699,0.6217291598190529,0.922151199159369,0.3560421735604217,2
xgb_f5_capacity,90,14,105-134,90773,3730,0.6114509367729963,0.9202005286037941,0.31206434316353887,2
xgb_f5_capacity,90,30,121-150,83571,2850,0.5330128031096785,0.9042548331408792,0.19473684210526315,2
xgb_f5_capacity,120,0,121-150,83571,2850,0.6483845317919102,0.9350605822915709,0.35368421052631577,2
