candidate,train_end,gap,window,n,positives,pr_auc,roc_auc,recall_at_p90,seed
xgb_f5_interactions,60,0,61-90,92189,3724,0.6467390196081018,0.9137468634242346,0.42588614393125673,1
xgb_f5_interactions,60,7,68-97,96483,3597,0.5750899855961721,0.8929977770677141,0.34056157909368917,1
xgb_f5_interactions,60,14,75-104,97746,3437,0.5332427075813826,0.8835761193989883,0.2953156822810591,1
xgb_f5_interactions,60,30,91-120,98615,3898,0.5436331286640945,0.8873097013315022,0.27603899435608004,1
xgb_f5_interactions,60,60,121-150,83571,2850,0.4715673845848976,0.8673319145412495,0.18456140350877193,1
xgb_f5_interactions,90,0,91-120,98615,3898,0.6086029956362777,0.9194350898122247,0.31836839404822986,1
xgb_f5_interactions,90,7,98-127,93814,3699,0.6162769239356546,0.9242513797327578,0.3376588267099216,1
xgb_f5_interactions,90,14,105-134,90773,3730,0.6039530657505398,0.9199172120377223,0.3024128686327078,1
xgb_f5_interactions,90,30,121-150,83571,2850,0.5188008341141853,0.9016928875874601,0.1863157894736842,1
xgb_f5_interactions,120,0,121-150,83571,2850,0.6229928159561654,0.9300410228256435,0.34,1
xgb_f5_capacity,60,0,61-90,92189,3724,0.6546235118276439,0.9152935542908915,0.4355531686358754,1
xgb_f5_capacity,60,7,68-97,96483,3597,0.5815029850504865,0.8938329906597311,0.33972755073672506,1
xgb_f5_capacity,60,14,75-104,97746,3437,0.5411441046591716,0.8852525337405639,0.28105906313645623,1
xgb_f5_capacity,60,30,91-120,98615,3898,0.5446050844549208,0.8881695282449054,0.27244740892765523,1
xgb_f5_capacity,60,60,121-150,83571,2850,0.4778640656445071,0.8760306531246788,0.17298245614035088,1
xgb_f5_capacity,90,0,91-120,98615,3898,0.6164390158700327,0.9193488739182875,0.3560800410466906,1
xgb_f5_capacity,90,7,98-127,93814,3699,0.6226706683637947,0.9235737424036154,0.35685320356853206,1
xgb_f5_capacity,90,14,105-134,90773,3730,0.6076930943076351,0.9202373059027649,0.3201072386058981,1
xgb_f5_capacity,90,30,121-150,83571,2850,0.5239267018075574,0.9025030552496502,0.16842105263157894,1
xgb_f5_capacity,120,0,121-150,83571,2850,0.6433064675448644,0.9320569768470434,0.3508771929824561,1
